path,start_offset_sec,label,source,material,noise,split
data\clips\3-155312-A-0.wav,0.0,0,esc50,,,val
data\clips\3-155312-A-0.wav,1.5,0,esc50,,,val
data\clips\3-155312-A-0.wav,3.0,0,esc50,,,val
data\clips\2023_06_14_21_43_59.126_t00100_Ch0_00001.wav,0.0,1,spid,Flour,Silence,val
data\clips\1-17808-B-12.wav,0.0,0,esc50,,,val
data\clips\1-17808-B-12.wav,1.5,0,esc50,,,val
data\clips\1-17808-B-12.wav,3.0,0,esc50,,,val
data\clips\4-159426-A-9.wav,0.0,0,esc50,,,val
data\clips\4-159426-A-9.wav,1.5,0,esc50,,,val
data\clips\4-159426-A-9.wav,3.0,0,esc50,,,val
data\clips\1-75189-A-7.wav,0.0,0,esc50,,,val
data\clips\1-75189-A-7.wav,1.5,0,esc50,,,val
data\clips\1-75189-A-7.wav,3.0,0,esc50,,,val
data\clips\2-72677-A-18.wav,0.0,0,esc50,,,val
data\clips\2-72677-A-18.wav,1.5,0,esc50,,,val
data\clips\2-72677-A-18.wav,3.0,0,esc50,,,val
data\clips\4-195451-A-44.wav,0.0,0,esc50,,,val
data\clips\4-195451-A-44.wav,1.5,0,esc50,,,val
data\clips\4-195451-A-44.wav,3.0,0,esc50,,,val
data\clips\2-98392-A-23.wav,0.0,0,esc50,,,val
data\clips\2-98392-A-23.wav,1.5,0,esc50,,,val
data\clips\2-98392-A-23.wav,3.0,0,esc50,,,val
data\clips\2023_06_21_17_00_13.300_t00100_Ch0_00001.wav,0.0,1,spid,Rice,Silence,val
data\clips\2023_06_21_17_00_13.300_t00100_Ch0_00001.wav,1.5,1,spid,Rice,Silence,val
data\clips\2023_06_21_17_00_13.300_t00100_Ch0_00001.wav,3.0,1,spid,Rice,Silence,val
data\clips\2023_06_21_17_00_13.300_t00100_Ch0_00001.wav,4.5,1,spid,Rice,Silence,val
data\clips\2023_06_21_17_00_13.300_t00100_Ch0_00001.wav,6.0,1,spid,Rice,Silence,val
data\clips\2023_06_21_17_00_13.300_t00100_Ch0_00001.wav,7.5,1,spid,Rice,Silence,val
data\clips\1-39901-B-11.wav,0.0,0,esc50,,,val
data\clips\1-39901-B-11.wav,1.5,0,esc50,,,val
data\clips\1-39901-B-11.wav,3.0,0,esc50,,,val
data\clips\2023_06_21_17_04_42.294_t00100_Ch0_00001.wav,0.0,1,spid,Rice,Silence,val
data\clips\2-87282-A-34.wav,0.0,0,esc50,,,val
data\clips\2-87282-A-34.wav,1.5,0,esc50,,,val
data\clips\2-87282-A-34.wav,3.0,0,esc50,,,val
data\clips\2023_06_21_17_04_55.645_t00100_Ch0_00001.wav,0.0,1,spid,Rice,Silence,val
data\clips\2023_06_21_17_13_19.373_t00100_Ch0_00001.wav,0.0,1,spid,Rice,Silence,val
data\clips\2023_06_21_17_13_19.373_t00100_Ch0_00001.wav,1.5,1,spid,Rice,Silence,val
data\clips\2023_06_21_17_13_19.373_t00100_Ch0_00001.wav,3.0,1,spid,Rice,Silence,val
data\clips\2023_06_21_17_13_19.373_t00100_Ch0_00001.wav,4.5,1,spid,Rice,Silence,val
data\clips\5-242932-B-26.wav,0.0,0,esc50,,,val
data\clips\5-242932-B-26.wav,1.5,0,esc50,,,val
data\clips\5-242932-B-26.wav,3.0,0,esc50,,,val
data\clips\5-156999-A-19.wav,0.0,0,esc50,,,val
data\clips\5-156999-A-19.wav,1.5,0,esc50,,,val
data\clips\5-156999-A-19.wav,3.0,0,esc50,,,val
data\clips\5-185908-A-18.wav,0.0,0,esc50,,,val
data\clips\5-185908-A-18.wav,1.5,0,esc50,,,val
data\clips\5-185908-A-18.wav,3.0,0,esc50,,,val
data\clips\1-20545-A-28.wav,0.0,0,esc50,,,val
data\clips\1-20545-A-28.wav,1.5,0,esc50,,,val
data\clips\1-20545-A-28.wav,3.0,0,esc50,,,val
data\clips\2023_06_21_17_07_42.204_t00100_Ch0_00001.wav,0.0,1,spid,Rice,Silence,val
data\clips\2023_06_21_17_07_42.204_t00100_Ch0_00001.wav,3.0,1,spid,Rice,Silence,val
data\clips\2023_06_21_17_07_42.204_t00100_Ch0_00001.wav,6.0,1,spid,Rice,Silence,val
data\clips\2023_06_21_17_07_42.204_t00100_Ch0_00001.wav,9.0,1,spid,Rice,Silence,val
data\clips\2023_06_21_17_07_42.204_t00100_Ch0_00001.wav,12.0,1,spid,Rice,Silence,val
data\clips\2023_06_21_17_07_42.204_t00100_Ch0_00001.wav,15.0,1,spid,Rice,Silence,val
